# Rime user dictionary
#@/db_name	flypy_flypy
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	16891
#@/user_id	lakuhana
bh[ml 	棒	c=1 d=1.10973e-19 t=16891
bh[se 	绑	c=1 d=2.83114e-08 t=16891
bh[se dk[br 	绑定	c=1 d=1.00882e-15 t=16891
bh[se jb[lx 	绑紧	c=1 d=1.41295e-08 t=16891
bh[se za[fv 	绑扎	c=0 d=2.80298e-09 t=16891
bh[se za[fv ta[tk lm[zi jp[fn 	绑扎塔连接	c=1 d=2.81702e-08 t=16891
bi[bb 	比	c=18 d=0.00245409 t=16891
bi[bb bu[ad go[zc 	比不过	c=1 d=6.5038e-28 t=16891
bi[bb jn[ix 	比较	c=19 d=0.037696 t=16891
bi[bb jn[ix ia[yg 	比较差	c=1 d=5.4615e-32 t=16891
bi[bb jn[ix ql[gi 	比较强	c=1 d=0.00336274 t=16891
bi[bb li[rd 	比例	c=3 d=0.00592962 t=16891
bi[bb ni[rx 	比你	c=1 d=5.35061e-26 t=16891
bi[bb ru[nk 	比如	c=20 d=1.66114 t=16891
bi[bb vs[pa 	比重	c=1 d=1.73349e-31 t=16891
bi[bb wo[PD 	比我	c=1 d=5.42593e-14 t=16891
bi[bb wo[PD mf[rm 	比我们	c=1 d=1.64558e-07 t=16891
bi[bu jk[le 	毕竟	c=2 d=2.78994e-12 t=16891
bi[dd dk[br 	必定	c=2 d=3.254e-14 t=16891
bi[dd yc[xn 	必要	c=1 d=0.00157264 t=16891
bi[ut 	壁	c=1 d=4.15065e-09 t=16891
bi[ut vi[su 	壁纸	c=1 d=5.80336e-11 t=16891
bi[vm ji[yj 	笔记	c=7 d=0.0095616 t=16891
bi[vm ji[yj bf[aa 	笔记本	c=3 d=0.0534399 t=16891
bi[vm ji[yj yi[aa dm[lh 	笔记一点	c=1 d=1.25403e-16 t=16891
bi[zt 	逼	c=1 d=1.55028e-11 t=16891
bi[zt ll[dg ww[dd ih[no 	逼良为娼	c=1 d=1.51959e-11 t=16891
bi[zu er[AL bu[ad tj[yh 	避而不谈	c=2 d=1.31545e-12 t=16891
bi[zu fg[jx gh[ds 	避风港	c=1 d=1.37474e-09 t=16891
bi[zu mm[dv 	避免	c=1 d=0.0010333 t=16891
bj[dl 	半	c=4 d=3.76667e-14 t=16891
bj[dl ge[rl yt[ka 	半个月	c=1 d=1.47362e-32 t=16891
bj[dl gh[kd xk[xu 	半刚性	c=3 d=1.51221e-26 t=16891
bj[dl jk[ig 	半径	c=3 d=0.00393626 t=16891
bj[dl nm[pl 	半年	c=1 d=9.98607e-14 t=16891
bj[dl tk[rd vi[la 	半停止	c=1 d=5.40533e-28 t=16891
bj[dl tm[tb bj[dl wa[fv 	半填半挖	c=1 d=3.83741e-27 t=16891
bj[dl uj[lk 	半山	c=0 d=3.78027e-28 t=16891
